"DateTime","(mm) SWE (SNODAS) at 4005, 2017-11-01 to 2019-05-01"
"2018-07-18",0
"2018-07-19",0
"2018-07-20",0
"2018-07-21",0
"2018-07-22",0
"2018-07-23",0
"2018-07-24",0
"2018-07-25",0
"2018-07-26",0
"2018-07-27",0
"2018-07-28",0
"2018-07-29",0
"2018-07-30",0
"2018-07-31",0
"2018-08-01",0
"2018-08-02",0
"2018-08-03",0
"2018-08-04",0
"2018-08-05",0
"2018-08-06",0
"2018-08-07",0
"2018-08-08",0
"2018-08-09",0
"2018-08-10",0
"2018-08-11",0
"2018-08-12",0
"2018-08-13",0
"2018-08-14",0
"2018-08-15",0
"2018-08-16",0
"2018-08-17",0
"2018-08-18",0
"2018-08-19",0
"2018-08-20",0
"2018-08-21",0
"2018-08-22",0
"2018-08-23",0
"2018-08-24",0
"2018-08-25",0
"2018-08-26",0
"2018-08-27",0
"2018-08-28",0
"2018-08-29",0
"2018-08-30",0
"2018-08-31",0
"2018-09-01",0
"2018-09-02",0
"2018-09-03",0
"2018-09-04",0
"2018-09-05",0
"2018-09-06",0
"2018-09-07",0
"2018-09-08",0
"2018-09-09",0
"2018-09-10",0
"2018-09-11",0
"2018-09-12",0
"2018-09-13",0
"2018-09-14",0
"2018-09-15",0
"2018-09-16",0
"2018-09-17",0
"2018-09-18",0
"2018-09-19",0
"2018-09-20",0
"2018-09-21",0
"2018-09-22",0
"2018-09-23",0
"2018-09-24",0
"2018-09-25",0
"2018-09-26",0
"2018-09-27",0
"2018-09-28",0
"2018-09-29",0
"2018-09-30",0
"2018-10-01",0
"2018-10-02",0
"2018-10-03",0
"2018-10-04",0
"2018-10-05",0
"2018-10-06",0
"2018-10-07",0
"2018-10-08",0.0047
"2018-10-09",0.0114
"2018-10-10",0.043
"2018-10-11",0.0003
"2018-10-12",0.0004
"2018-10-13",0.0004
"2018-10-14",0.0002
"2018-10-15",0.0001
"2018-10-16",0.0046
"2018-10-17",0.2194
"2018-10-18",0.0638
"2018-10-19",0.0033
"2018-10-20",0.0001
"2018-10-21",0
"2018-10-22",0
"2018-10-23",0
"2018-10-24",0
"2018-10-25",0
"2018-10-26",0
"2018-10-27",0
"2018-10-28",0
"2018-10-29",0
"2018-10-30",0
"2018-10-31",0.0904
"2018-11-01",0.041
"2018-11-02",0.0031
"2018-11-03",0
"2018-11-04",0
"2018-11-05",0
"2018-11-06",0
"2018-11-07",0
"2018-11-08",0
"2018-11-09",0
"2018-11-10",0
"2018-11-11",0
"2018-11-12",0
"2018-11-13",0.0991
"2018-11-14",0.0676
"2018-11-15",0.0325
"2018-11-16",0.0008
"2018-11-17",0
"2018-11-18",0
"2018-11-19",0
"2018-11-20",0
"2018-11-21",0
"2018-11-22",0
"2018-11-23",0.1637
"2018-11-24",0.0652
"2018-11-25",0.0107
"2018-11-26",0.0069
"2018-11-27",0.0042
"2018-11-28",0.0007
"2018-11-29",0.0042
"2018-11-30",0.0042
"2018-12-01",0.0042
"2018-12-02",0.0042
"2018-12-03",0.0042
"2018-12-04",0.0042
"2018-12-05",0.0042
"2018-12-06",0.0042
"2018-12-07",0.0042
"2018-12-08",0.0042
"2018-12-09",0.0042
"2018-12-10",0.0042
"2018-12-11",0.0042
"2018-12-12",0.0042
"2018-12-13",0.0042
"2018-12-14",0.0042
"2018-12-15",0.0042
"2018-12-16",2.4333
"2018-12-17",0.0042
"2018-12-18",0.0042
"2018-12-19",0.0042
"2018-12-20",0.0042
"2018-12-21",0.0042
"2018-12-22",0.0042
"2018-12-23",0.0042
"2018-12-24",0.0042
"2018-12-25",0.0042
"2018-12-26",0.0042
"2018-12-27",0.0042
"2018-12-28",0.0042
"2018-12-29",0.0042
"2018-12-30",0.0042
"2018-12-31",0.0042
"2019-01-01",0.0042
"2019-01-02",0.0042
"2019-01-03",0.0042
"2019-01-04",0.0042
"2019-01-05",0.0042
"2019-01-06",0.0042
"2019-01-07",21.3679
"2019-01-08",20.0236
"2019-01-09",19.3027
"2019-01-10",18.0693
"2019-01-11",17.7529
"2019-01-12",17.065
"2019-01-13",16.8618
"2019-01-14",21.3728
"2019-01-15",20.028
"2019-01-16",19.8204
"2019-01-17",15.6151
"2019-01-18",11.0992
"2019-01-19",9.7277
"2019-01-20",9.3163
"2019-01-21",8.5463
"2019-01-22",7.9085
"2019-01-23",7.7623
"2019-01-24",8.3498
"2019-01-25",7.8751
"2019-01-26",7.6796
"2019-01-27",7.3886
"2019-01-28",7.0295
"2019-01-29",6.3978
"2019-01-30",6.2555
"2019-01-31",6.1246
"2019-02-01",5.8694
"2019-02-02",5.6329
"2019-02-03",5.0388
"2019-02-04",3.8145
"2019-02-05",3.3736
"2019-02-06",3.2486
"2019-02-07",8.198
"2019-02-08",7.9153
"2019-02-09",7.1732
"2019-02-10",4.7878
"2019-02-11",4.3666
"2019-02-12",6.6566
"2019-02-13",6.1764
"2019-02-14",4.7417
"2019-02-15",4.9521
"2019-02-16",3.998
"2019-02-17",5.1526
"2019-02-18",8.1192
"2019-02-19",12.0934
"2019-02-20",13.8659
"2019-02-21",13.9158
"2019-02-22",19.3428
"2019-02-23",26.3051
"2019-02-24",26.1316
"2019-02-25",25.937
"2019-02-26",25.0298
"2019-02-27",21.0967
"2019-02-28",13.489
"2019-03-01",7.3976
"2019-03-02",5.1324
"2019-03-03",4.6624
"2019-03-04",4.5625
"2019-03-05",4.8947
"2019-03-06",4.6493
"2019-03-07",4.0311
"2019-03-08",3.6707
"2019-03-09",4.0052
"2019-03-10",3.8144
"2019-03-11",3.7399
"2019-03-12",3.8503
"2019-03-13",4.2868
"2019-03-14",7.3569
"2019-03-15",6.9241
"2019-03-16",5.5399
"2019-03-17",4.6953
"2019-03-18",4.3638
"2019-03-19",4.1678
"2019-03-20",4.0949
"2019-03-21",3.9922
"2019-03-22",3.9724
"2019-03-23",3.9768
"2019-03-24",3.8858
"2019-03-25",3.7932
"2019-03-26",4.6216
"2019-03-27",3.8665
"2019-03-28",3.5133
"2019-03-29",3.1994
"2019-03-30",3.0975
"2019-03-31",3.0406
"2019-04-01",3.0512
"2019-04-02",2.9593
"2019-04-03",2.8683
"2019-04-04",2.792
"2019-04-05",2.6776
"2019-04-06",2.5088
"2019-04-07",2.3772
"2019-04-08",2.1959
"2019-04-09",1.9784
"2019-04-10",1.4003
"2019-04-11",1.6587
"2019-04-12",1.465
"2019-04-13",1.7965
"2019-04-14",1.7153
"2019-04-15",1.54
"2019-04-16",1.2946
"2019-04-17",1.1484
"2019-04-18",1.0221
"2019-04-19",0.8646
"2019-04-20",0.7616
"2019-04-21",0.5754
"2019-04-22",0.4024
"2019-04-23",0.3633
"2019-04-24",0.3596
"2019-04-25",0.2592
"2019-04-26",0.1681
"2019-04-27",0.0831
"2019-04-28",0.0276
"2019-04-29",0.0059
"2019-04-30",0.0021
"2019-05-01",0.0018
