"DateTime"," Palmer Drought Severity Index (PDSI) (gridMET) at JEDDITO, 2003-10-01 to 2019-05-01"
"2008-09-10",-1.0912
"2008-09-20",-1.2058
"2008-10-01",-1.3286
"2008-10-10",-1.3728
"2008-10-20",-1.4666
"2008-11-01",-1.609
"2008-11-10",-1.7654
"2008-11-20",-1.9193
"2008-12-01",-1.9198
"2008-12-10",-1.993
"2008-12-20",-1.8265
"2009-01-01",-1.6528
"2009-01-10",-1.4944
"2009-01-20",-1.5686
"2009-02-01",-1.69
"2009-02-10",-1.7551
"2009-02-20",-1.7902
"2009-03-01",-1.9214
"2009-03-10",-2.1332
"2009-03-20",-2.3224
"2009-04-01",-2.3649
"2009-04-10",-2.3104
"2009-04-20",-2.2214
"2009-05-01",-2.2668
"2009-05-10",-2.3348
"2009-05-20",-2.4466
"2009-06-01",-2.0616
"2009-06-10",-1.6259
"2009-06-20",-1.0827
"2009-07-01",-1.0927
"2009-07-10",-1.1429
"2009-07-20",-1.2518
"2009-08-01",-1.4242
"2009-08-10",-1.6408
"2009-08-20",-1.9104
"2009-09-01",-2.2679
"2009-09-10",-2.5078
"2009-09-20",-2.6627
"2009-10-01",-2.7693
"2009-10-10",-2.9227
"2009-10-20",-3.0875
"2009-11-01",-3.1943
"2009-11-10",-3.2571
"2009-11-20",-3.2907
"2009-12-01",-3.345
"2009-12-10",-3.1208
"2009-12-20",-2.9076
"2010-01-01",-2.6437
"2010-01-10",-2.6553
"2010-01-20",-2.5943
"2010-02-01",-2.1342
"2010-02-10",-1.6148
"2010-02-20",-1.1763
"2010-03-01",-1.006
"2010-03-10",-0.7954
"2010-03-20",-0.7496
"2010-04-01",-0.9437
"2010-04-10",-1.2323
"2010-04-20",-1.485
"2010-05-01",-1.6515
"2010-05-10",-1.7312
"2010-05-20",-1.7933
"2010-06-01",-1.8483
"2010-06-10",-1.9138
"2010-06-20",-1.9717
"2010-07-01",-1.99
"2010-07-10",-2.0125
"2010-07-20",-2.0996
"2010-08-01",-2.143
"2010-08-10",-1.987
"2010-08-20",-1.8752
"2010-09-01",-1.959
"2010-09-10",-2.2489
"2010-09-20",-2.4983
"2010-10-01",-2.4235
"2010-10-10",-2.2709
"2010-10-20",-2.0606
"2010-11-01",-1.9637
"2010-11-10",-1.9707
"2010-11-20",-1.9922
"2010-12-01",-2.1239
"2010-12-10",-2.2727
"2010-12-20",-2.3369
"2011-01-01",-2.2264
"2011-01-10",-2.1051
"2011-01-20",-2.0634
"2011-02-01",-2.2142
"2011-02-10",-2.3595
"2011-02-20",-2.3884
"2011-03-01",-2.4026
"2011-03-10",-2.4099
"2011-03-20",-2.5868
"2011-04-01",-2.7366
"2011-04-10",-2.7885
"2011-04-20",-2.7676
"2011-05-01",-2.7368
"2011-05-10",-2.8033
"2011-05-20",-2.6927
"2011-06-01",-2.5728
"2011-06-10",-2.4256
"2011-06-20",-2.466
"2011-07-01",-2.4874
"2011-07-10",-2.5014
"2011-07-20",-2.3811
"2011-08-01",-2.238
"2011-08-10",-2.1541
"2011-08-20",-2.1227
"2011-09-01",-2.2308
"2011-09-10",-2.2054
"2011-09-20",-2.0487
"2011-10-01",-1.7994
"2011-10-10",-1.5716
"2011-10-20",-1.5872
"2011-11-01",-1.4815
"2011-11-10",-1.3144
"2011-11-20",-1.1448
"2011-12-01",-1.0769
"2011-12-10",-1.0637
"2011-12-20",-0.9247
"2012-01-01",-0.8181
"2012-01-10",-0.9107
"2012-01-20",-1.1558
"2012-02-01",-1.3361
"2012-02-10",-1.5023
"2012-02-20",-1.5652
"2012-03-01",-1.7059
"2012-03-10",-1.8411
"2012-03-20",-1.9136
"2012-04-01",-2.038
"2012-04-10",-2.1746
"2012-04-20",-2.3876
"2012-05-01",-2.4466
"2012-05-10",-2.4405
"2012-05-20",-2.4862
"2012-06-01",-2.5841
"2012-06-10",-2.6517
"2012-06-20",-2.6675
"2012-07-01",-2.6394
"2012-07-10",-2.4894
"2012-07-20",-2.1953
"2012-08-01",-1.8199
"2012-08-10",-1.5874
"2012-08-20",-1.4924
"2012-09-01",-1.4934
"2012-09-10",-1.4679
"2012-09-20",-1.4876
"2012-10-01",-1.5812
"2012-10-10",-1.7653
"2012-10-20",-1.9372
"2012-11-01",-2.1567
"2012-11-10",-2.2573
"2012-11-20",-2.3891
"2012-12-01",-2.5075
"2012-12-10",-2.6783
"2012-12-20",-2.59
"2013-01-01",-2.4627
"2013-01-10",-2.3349
"2013-01-20",-2.4371
"2013-02-01",-2.206
"2013-02-10",-1.9503
"2013-02-20",-1.6818
"2013-03-01",-1.7742
"2013-03-10",-1.83
"2013-03-20",-1.9405
"2013-04-01",-2.1026
"2013-04-10",-2.2838
"2013-04-20",-2.4073
"2013-05-01",-2.4634
"2013-05-10",-2.5182
"2013-05-20",-2.5823
"2013-06-01",-2.6312
"2013-06-10",-2.6903
"2013-06-20",-2.7226
"2013-07-01",-2.7316
"2013-07-10",-2.7736
"2013-07-20",-2.3816
"2013-08-01",-1.9901
"2013-08-10",-1.5523
"2013-08-20",-1.444
"2013-09-01",-1.1796
"2013-09-10",-0.7246
"2013-09-20",1.7811
"2013-10-01",1.8339
"2013-10-10",1.6228
"2013-10-20",1.423
"2013-11-01",1.2271
"2013-11-10",1.0117
"2013-11-20",0.8109
"2013-12-01",1.0044
"2013-12-10",1.1948
"2013-12-20",1.4043
"2014-01-01",1.2223
"2014-01-10",0.9783
"2014-01-20",0.6719
"2014-02-01",-0.2895
"2014-02-10",-1.0937
"2014-02-20",-1.3634
"2014-03-01",-1.6141
"2014-03-10",-1.6115
"2014-03-20",-1.5907
"2014-04-01",-1.6016
"2014-04-10",-1.8206
"2014-04-20",-1.9826
"2014-05-01",-2.0214
"2014-05-10",-2.036
"2014-05-20",-2.0618
"2014-06-01",-2.1246
"2014-06-10",-2.1723
"2014-06-20",-2.1921
"2014-07-01",-2.2194
"2014-07-10",-2.2554
"2014-07-20",-2.1565
"2014-08-01",-2.1562
"2014-08-10",-2.1718
"2014-08-20",-1.8917
"2014-09-01",-1.5969
"2014-09-10",-1.3401
"2014-09-20",-1.5603
"2014-10-01",-1.4566
"2014-10-10",-1.2998
"2014-10-20",-1.1212
"2014-11-01",-1.2886
"2014-11-10",-1.4957
"2014-11-20",-1.6657
"2014-12-01",-1.8231
"2014-12-10",-1.6985
"2014-12-20",-1.5983
"2015-01-01",-1.5005
"2015-01-10",-1.6655
"2015-01-20",-1.6788
"2015-02-01",-1.4384
"2015-02-10",-1.2331
"2015-02-20",-1.269
"2015-03-01",-1.2032
"2015-03-10",-0.9125
"2015-03-20",-0.567
"2015-04-01",-0.6053
"2015-04-10",-0.9046
"2015-04-20",-1.1804
"2015-05-01",-1.1741
"2015-05-10",-0.9321
"2015-05-20",-0.5781
"2015-06-01",0.2964
"2015-06-10",1.2146
"2015-06-20",1.8142
"2015-07-01",2.4053
"2015-07-10",2.7162
"2015-07-20",2.9476
"2015-08-01",3.0213
"2015-08-10",3.1112
"2015-08-20",3.0324
"2015-09-01",3.0609
"2015-09-10",2.8606
"2015-09-20",2.6166
"2015-10-01",2.3895
"2015-10-10",2.2907
"2015-10-20",2.3434
"2015-11-01",2.4564
"2015-11-10",2.5168
"2015-11-20",2.5818
"2015-12-01",2.5328
"2015-12-10",2.3299
"2015-12-20",2.0402
"2016-01-01",1.8455
"2016-01-10",1.8108
"2016-01-20",1.7595
"2016-02-01",1.692
"2016-02-10",1.4909
"2016-02-20",1.2433
"2016-03-01",0.9464
"2016-03-10",0.6376
"2016-03-20",-1.338
"2016-04-01",-1.5435
"2016-04-10",-1.7305
"2016-04-20",-1.733
"2016-05-01",-1.6916
"2016-05-10",-1.32
"2016-05-20",-0.9251
"2016-06-01",1.0077
"2016-06-10",1.0191
"2016-06-20",0.8659
"2016-07-01",0.7361
"2016-07-10",0.6584
"2016-07-20",0.5555
"2016-08-01",-0.1346
"2016-08-10",0.1143
"2016-08-20",0.1169
"2016-09-01",0.2301
"2016-09-10",-0.1258
"2016-09-20",-0.1619
"2016-10-01",-0.0502
"2016-10-10",-0.0219
"2016-10-20",-0.0128
"2016-11-01",-0.5025
"2016-11-10",-0.5524
"2016-11-20",-0.587
"2016-12-01",-0.5853
"2016-12-10",-0.7032
"2016-12-20",-0.7529
"2017-01-01",-0.5617
"2017-01-10",0.2558
"2017-01-20",0.7884
"2017-02-01",1.096
"2017-02-10",1.2731
"2017-02-20",1.3065
"2017-03-01",1.3774
"2017-03-10",1.3231
"2017-03-20",1.1415
"2017-04-01",0.9563
"2017-04-10",0.8946
"2017-04-20",0.892
"2017-05-01",-1.2569
"2017-05-10",-1.257
"2017-05-20",-1.2372
"2017-06-01",0.9163
"2017-06-10",0.8562
"2017-06-20",0.7071
"2017-07-01",0.5796
"2017-07-10",-0.1251
"2017-07-20",-0.0433
"2017-08-01",0.2808
"2017-08-10",0.5818
"2017-08-20",0.7215
"2017-09-01",-0.2569
"2017-09-10",-0.5767
"2017-09-20",-0.8522
"2017-10-01",-1.009
"2017-10-10",-1.1881
"2017-10-20",-1.3699
"2017-11-01",-1.6827
"2017-11-10",-1.913
"2017-11-20",-2.137
"2017-12-01",-2.3496
"2017-12-10",-2.5614
"2017-12-20",-2.8197
"2018-01-01",-3.0528
"2018-01-10",-3.1856
"2018-01-20",-3.2609
"2018-02-01",-3.3837
"2018-02-10",-3.5687
"2018-02-20",-3.689
"2018-03-01",-3.748
"2018-03-10",-3.7804
"2018-03-20",-3.7745
"2018-04-01",-3.8367
"2018-04-10",-3.9384
"2018-04-20",-4.1251
"2018-05-01",-4.2351
"2018-05-10",-4.2331
"2018-05-20",-4.2506
"2018-06-01",-4.2493
"2018-06-10",-4.2635
"2018-06-20",-4.113
"2018-07-01",-3.9148
"2018-07-10",-3.7733
"2018-07-20",-3.445
"2018-08-01",-3.295
"2018-08-10",-3.2019
"2018-08-20",-3.4112
"2018-09-01",-3.5309
"2018-09-10",-3.5558
"2018-09-20",-3.5739
"2018-10-01",-3.573
"2018-10-10",-3.2991
"2018-10-20",-2.7802
"2018-11-01",-2.1979
"2018-11-10",-1.9919
"2018-11-20",-2.017
"2018-12-01",-2.1258
"2018-12-10",-2.1594
"2018-12-20",-2.2593
"2019-01-01",-2.295
"2019-01-10",-2.3487
"2019-01-20",-2.1922
"2019-02-01",-2.1841
"2019-02-10",-2.1468
"2019-02-20",-1.847
"2019-03-01",-1.3213
"2019-03-10",-0.8979
"2019-03-20",-0.5438
"2019-04-01",1.4806
"2019-04-10",1.4668
"2019-04-20",1.1586
"2019-05-01",0.9432
