"DateTime","(deg C) Mean Temperature (gridMET) at Chuska, 1979-01-01 to 1985-01-01"
"1979-04-25",7.3351
"1979-04-26",7.3755
"1979-04-27",9.9719
"1979-04-28",9.0678
"1979-04-29",10.3437
"1979-04-30",9.4747
"1979-05-01",7.9061
"1979-05-02",6.5289
"1979-05-03",4.0031
"1979-05-04",6.1708
"1979-05-05",9.4697
"1979-05-06",10.5295
"1979-05-07",8.1206
"1979-05-08",4.1435
"1979-05-09",0.3024
"1979-05-10",0.105
"1979-05-11",2.3521
"1979-05-12",4.0714
"1979-05-13",7.4994
"1979-05-14",11.6123
"1979-05-15",13.6703
"1979-05-16",13.0099
"1979-05-17",11.633
"1979-05-18",12.4298
"1979-05-19",13.2655
"1979-05-20",9.4529
"1979-05-21",9.6135
"1979-05-22",13.587
"1979-05-23",14.9525
"1979-05-24",12.2097
"1979-05-25",11.1516
"1979-05-26",9.4559
"1979-05-27",9.5788
"1979-05-28",11.5084
"1979-05-29",11.7177
"1979-05-30",11.291
"1979-05-31",9.3227
"1979-06-01",10.715
"1979-06-02",10.6111
"1979-06-03",12.0917
"1979-06-04",13.2345
"1979-06-05",13.937
"1979-06-06",15.2057
"1979-06-07",13.841
"1979-06-08",8.6273
"1979-06-09",5.6672
"1979-06-10",9.245
"1979-06-11",12.6757
"1979-06-12",16.5723
"1979-06-13",17.4209
"1979-06-14",17.8446
"1979-06-15",17.2221
"1979-06-16",15.2548
"1979-06-17",13.0265
"1979-06-18",10.7315
"1979-06-19",8.0824
"1979-06-20",12.5693
"1979-06-21",15.212
"1979-06-22",16.6857
"1979-06-23",16.8022
"1979-06-24",17.686
"1979-06-25",18.5659
"1979-06-26",19.5361
"1979-06-27",20.2802
"1979-06-28",20.2786
"1979-06-29",21.0178
"1979-06-30",18.4786
"1979-07-01",16.7264
"1979-07-02",15.6192
"1979-07-03",14.8497
"1979-07-04",14.0553
"1979-07-05",15.2587
"1979-07-06",16.9037
"1979-07-07",17.0073
"1979-07-08",17.4381
"1979-07-09",18.3417
"1979-07-10",19.9965
"1979-07-11",18.8603
"1979-07-12",19.2367
"1979-07-13",19.6905
"1979-07-14",20.1652
"1979-07-15",20.2968
"1979-07-16",19.8648
"1979-07-17",17.7699
"1979-07-18",17.7064
"1979-07-19",16.0278
"1979-07-20",15.2876
"1979-07-21",14.9314
"1979-07-22",16.3388
"1979-07-23",16.8209
"1979-07-24",18.6118
"1979-07-25",18.7803
"1979-07-26",20.3595
"1979-07-27",20.3891
"1979-07-28",20.1966
"1979-07-29",19.385
"1979-07-30",19.0571
"1979-07-31",19.4488
"1979-08-01",19.1302
"1979-08-02",20.0217
"1979-08-03",20.4945
"1979-08-04",20.3861
"1979-08-05",19.7211
"1979-08-06",18.9794
"1979-08-07",18.0018
"1979-08-08",17.7253
"1979-08-09",19.1546
"1979-08-10",19.6008
"1979-08-11",19.397
"1979-08-12",17.3632
"1979-08-13",14.2769
"1979-08-14",14.1512
"1979-08-15",10.7022
"1979-08-16",11.4206
"1979-08-17",12.7093
"1979-08-18",12.1073
"1979-08-19",11.889
"1979-08-20",12.4563
"1979-08-21",14.0055
"1979-08-22",15.1501
"1979-08-23",16.2898
"1979-08-24",16.0328
"1979-08-25",16.7729
"1979-08-26",17.9104
"1979-08-27",17.1141
"1979-08-28",17.3514
"1979-08-29",16.2648
"1979-08-30",16.9453
"1979-08-31",16.2344
"1979-09-01",16.5655
"1979-09-02",18.6951
"1979-09-03",18.1316
"1979-09-04",17.6986
"1979-09-05",17.9697
"1979-09-06",19.1785
"1979-09-07",19.7412
"1979-09-08",18.7682
"1979-09-09",19.393
"1979-09-10",16.9913
"1979-09-11",17.0906
"1979-09-12",17.1902
"1979-09-13",15.6684
"1979-09-14",13.4155
"1979-09-15",8.489
"1979-09-16",10.1194
"1979-09-17",11.9653
"1979-09-18",12.3112
"1979-09-19",11.9742
"1979-09-20",13.7946
"1979-09-21",13.7255
"1979-09-22",13.3474
"1979-09-23",14.2879
"1979-09-24",15.5894
"1979-09-25",15.7089
"1979-09-26",14.9833
"1979-09-27",14.0762
"1979-09-28",13.9471
"1979-09-29",13.8897
"1979-09-30",15.4156
"1979-10-01",15.7263
"1979-10-02",15.8099
"1979-10-03",14.8339
"1979-10-04",14.0936
"1979-10-05",14.4206
"1979-10-06",14.2372
"1979-10-07",14.6381
"1979-10-08",13.6557
"1979-10-09",12.8701
"1979-10-10",12.6143
"1979-10-11",13.2329
"1979-10-12",13.0211
"1979-10-13",12.3011
"1979-10-14",12.2558
"1979-10-15",10.2026
"1979-10-16",10.3665
"1979-10-17",10.4364
"1979-10-18",10.4062
"1979-10-19",10.1385
"1979-10-20",5.7922
"1979-10-21",1.6181
"1979-10-22",2.4177
"1979-10-23",5.951
"1979-10-24",9.0152
"1979-10-25",10.3636
"1979-10-26",10.3143
"1979-10-27",6.906
"1979-10-28",6.0352
"1979-10-29",1.3099
"1979-10-30",-1.9076
"1979-10-31",-1.9191
"1979-11-01",-0.1484
"1979-11-02",-0.7347
"1979-11-03",3.3792
"1979-11-04",4.6991
"1979-11-05",1.5423
"1979-11-06",3.719
"1979-11-07",4.8194
"1979-11-08",2.4635
"1979-11-09",1.4871
"1979-11-10",-0.224
"1979-11-11",-0.7069
"1979-11-12",-1.7193
"1979-11-13",-0.0445
"1979-11-14",1.1184
"1979-11-15",2.1128
"1979-11-16",2.3522
"1979-11-17",2.8827
"1979-11-18",2.3194
"1979-11-19",0.4455
"1979-11-20",-5.3716
"1979-11-21",-7.6041
"1979-11-22",-8.6244
"1979-11-23",-6.7044
"1979-11-24",-6.2646
"1979-11-25",-1.8289
"1979-11-26",1.2146
"1979-11-27",-4.5601
"1979-11-28",-8.0929
"1979-11-29",-7.1728
"1979-11-30",-7.0805
"1979-12-01",-6.2731
"1979-12-02",-1.9058
"1979-12-03",1.4863
"1979-12-04",3.1168
"1979-12-05",0.9691
"1979-12-06",-0.4277
"1979-12-07",0.8672
"1979-12-08",2.6406
"1979-12-09",2.6559
"1979-12-10",3.1715
"1979-12-11",0.5651
"1979-12-12",-1.8861
"1979-12-13",-2.2588
"1979-12-14",-2.0905
"1979-12-15",0.2996
"1979-12-16",1.6849
"1979-12-17",2.2778
"1979-12-18",2.678
"1979-12-19",2.3691
"1979-12-20",1.6389
"1979-12-21",0.1125
"1979-12-22",-4.8462
"1979-12-23",-6.9878
"1979-12-24",-5.7295
"1979-12-25",0.275
"1979-12-26",0.1124
"1979-12-27",-4.514
"1979-12-28",-7.9287
"1979-12-29",-8.6821
"1979-12-30",-7.8511
"1979-12-31",-5.3713
"1980-01-01",-2.4009
"1980-01-02",-6.2424
"1980-01-03",-7.3735
"1980-01-04",-3.6155
"1980-01-05",-2.3948
"1980-01-06",-1.8853
"1980-01-07",-2.5671
"1980-01-08",-1.0169
"1980-01-09",-1.1493
"1980-01-10",1.3927
"1980-01-11",0.1016
"1980-01-12",1.9765
"1980-01-13",3.088
"1980-01-14",3.0675
"1980-01-15",0.404
"1980-01-16",-1.084
"1980-01-17",0.4445
"1980-01-18",1.4314
"1980-01-19",-0.1102
"1980-01-20",-2.6972
"1980-01-21",-3.0018
"1980-01-22",-5.9099
"1980-01-23",-5.8787
"1980-01-24",-3.8117
"1980-01-25",-2.1179
"1980-01-26",-1.582
"1980-01-27",-0.6103
"1980-01-28",-1.7315
"1980-01-29",0.7414
"1980-01-30",-0.5167
"1980-01-31",-1.251
"1980-02-01",-1.2365
"1980-02-02",-0.2744
"1980-02-03",1.1097
"1980-02-04",1.5433
"1980-02-05",-0.6669
"1980-02-06",1.8469
"1980-02-07",-0.6992
"1980-02-08",-2.9407
"1980-02-09",-6.0289
"1980-02-10",-6.1674
"1980-02-11",-4.1994
"1980-02-12",-2.1888
"1980-02-13",-0.2703
"1980-02-14",3.6725
"1980-02-15",3.0919
"1980-02-16",1.6735
"1980-02-17",2.0249
"1980-02-18",2.5623
"1980-02-19",3.0488
"1980-02-20",2.0611
"1980-02-21",0.0956
"1980-02-22",0.1324
"1980-02-23",-0.3552
"1980-02-24",-1.7021
"1980-02-25",-1.827
"1980-02-26",-0.1783
"1980-02-27",2.4254
"1980-02-28",4.0632
"1980-02-29",0.7043
"1980-03-01",-0.8803
"1980-03-02",0.6888
"1980-03-03",2.2179
"1980-03-04",-0.8131
"1980-03-05",-0.9895
"1980-03-06",2.4081
"1980-03-07",-0.2779
"1980-03-08",-1.8905
"1980-03-09",-2.7207
"1980-03-10",-0.6972
"1980-03-11",1.8156
"1980-03-12",-1.0242
"1980-03-13",-1.1105
"1980-03-14",2.0371
"1980-03-15",3.0206
"1980-03-16",-1.0388
"1980-03-17",-4.5365
"1980-03-18",0.0634
"1980-03-19",0.9218
"1980-03-20",0.8686
"1980-03-21",1.7065
"1980-03-22",0.9713
"1980-03-23",-1.4147
"1980-03-24",-0.6137
"1980-03-25",-0.1669
"1980-03-26",-0.002
"1980-03-27",-0.5955
"1980-03-28",-1.8402
"1980-03-29",-1.2759
"1980-03-30",-0.0855
"1980-03-31",-2.39
"1980-04-01",-3.2625
"1980-04-02",-1.2848
"1980-04-03",-1.8972
"1980-04-04",1.0404
"1980-04-05",5.237
"1980-04-06",4.2643
"1980-04-07",1.7521
"1980-04-08",0.2803
"1980-04-09",4.2455
"1980-04-10",5.5316
"1980-04-11",1.2209
"1980-04-12",-0.2745
"1980-04-13",0.8532
"1980-04-14",2.9529
"1980-04-15",5.741
"1980-04-16",6.6241
"1980-04-17",7.1698
"1980-04-18",8.738
"1980-04-19",10.7936
"1980-04-20",10.9979
"1980-04-21",11.5548
"1980-04-22",7.8933
"1980-04-23",4.1215
"1980-04-24",2.8289
"1980-04-25",5.9559
"1980-04-26",7.1401
"1980-04-27",8.956
"1980-04-28",10.9927
"1980-04-29",8.2541
"1980-04-30",4.5639
"1980-05-01",3.8384
"1980-05-02",5.8707
"1980-05-03",7.6995
"1980-05-04",9.2631
"1980-05-05",10.8636
"1980-05-06",10.0074
"1980-05-07",9.5065
"1980-05-08",9.0088
"1980-05-09",7.8326
"1980-05-10",8.3376
"1980-05-11",6.2881
"1980-05-12",1.8734
"1980-05-13",5.1217
"1980-05-14",8.1669
"1980-05-15",6.518
"1980-05-16",8.2466
"1980-05-17",10.1569
"1980-05-18",8.3428
"1980-05-19",9.831
"1980-05-20",12.1988
"1980-05-21",14.5345
"1980-05-22",13.6063
"1980-05-23",10.2277
"1980-05-24",6.5065
"1980-05-25",2.5191
"1980-05-26",7.1511
"1980-05-27",10.3725
"1980-05-28",10.1124
"1980-05-29",9.0324
"1980-05-30",10.7108
"1980-05-31",9.7275
"1980-06-01",8.6541
"1980-06-02",9.1585
"1980-06-03",11.1556
"1980-06-04",12.5002
"1980-06-05",13.4422
"1980-06-06",14.2454
"1980-06-07",14.1933
"1980-06-08",16.6707
"1980-06-09",16.8823
"1980-06-10",17.3638
"1980-06-11",16.4872
"1980-06-12",15.4891
"1980-06-13",15.7708
"1980-06-14",16.4576
"1980-06-15",14.2355
"1980-06-16",16.7309
"1980-06-17",18.0359
"1980-06-18",18.6607
"1980-06-19",18.602
"1980-06-20",17.4141
"1980-06-21",18.1194
"1980-06-22",17.1866
"1980-06-23",18.4515
"1980-06-24",18.5652
"1980-06-25",19.5193
"1980-06-26",22.1421
"1980-06-27",20.1452
"1980-06-28",20.4553
"1980-06-29",21.9855
"1980-06-30",20.5421
"1980-07-01",17.2308
"1980-07-02",15.486
"1980-07-03",16.6212
"1980-07-04",17.4773
"1980-07-05",17.951
"1980-07-06",18.8503
"1980-07-07",18.6679
"1980-07-08",17.8852
"1980-07-09",18.7049
"1980-07-10",19.8074
"1980-07-11",20.9039
"1980-07-12",19.8083
"1980-07-13",16.695
"1980-07-14",16.649
"1980-07-15",18.0652
"1980-07-16",18.8046
"1980-07-17",20.1267
"1980-07-18",20.5238
"1980-07-19",19.555
"1980-07-20",19.1487
"1980-07-21",21.0101
"1980-07-22",19.9057
"1980-07-23",19.822
"1980-07-24",19.9761
"1980-07-25",20.7082
"1980-07-26",21.2514
"1980-07-27",21.1651
"1980-07-28",21.1941
"1980-07-29",21.1849
"1980-07-30",20.0322
"1980-07-31",20.8637
"1980-08-01",21.2965
"1980-08-02",20.5894
"1980-08-03",19.5907
"1980-08-04",19.6146
"1980-08-05",19.065
"1980-08-06",19.3544
"1980-08-07",20.8606
"1980-08-08",21.1086
"1980-08-09",20.389
"1980-08-10",20.6193
"1980-08-11",20.2933
"1980-08-12",18.2358
"1980-08-13",18.0378
"1980-08-14",17.9225
"1980-08-15",15.9617
"1980-08-16",14.4731
"1980-08-17",15.6306
"1980-08-18",15.7742
"1980-08-19",14.4334
"1980-08-20",12.9057
"1980-08-21",14.8792
"1980-08-22",15.9972
"1980-08-23",11.7725
"1980-08-24",13.6856
"1980-08-25",14.1198
"1980-08-26",15.1974
"1980-08-27",15.4097
"1980-08-28",16.1878
"1980-08-29",15.6172
"1980-08-30",15.9075
"1980-08-31",14.292
"1980-09-01",14.0746
"1980-09-02",15.3532
"1980-09-03",15.9428
"1980-09-04",17.0569
"1980-09-05",16.7431
"1980-09-06",15.2903
"1980-09-07",14.9146
"1980-09-08",15.3497
"1980-09-09",12.8738
"1980-09-10",12.4342
"1980-09-11",13.1744
"1980-09-12",13.3002
"1980-09-13",13.79
"1980-09-14",13.6926
"1980-09-15",14.214
"1980-09-16",14.5884
"1980-09-17",14.4619
"1980-09-18",16.6854
"1980-09-19",15.7595
"1980-09-20",12.9345
"1980-09-21",12.4292
"1980-09-22",10.6522
"1980-09-23",11.2256
"1980-09-24",11.7395
"1980-09-25",11.3632
"1980-09-26",12.2759
"1980-09-27",12.2512
"1980-09-28",13.7803
"1980-09-29",14.71
"1980-09-30",15.9576
"1980-10-01",15.4187
"1980-10-02",13.8104
"1980-10-03",13.5536
"1980-10-04",14.19
"1980-10-05",14.574
"1980-10-06",13.9688
"1980-10-07",13.0417
"1980-10-08",14.4542
"1980-10-09",14.253
"1980-10-10",13.5492
"1980-10-11",12.5284
"1980-10-12",12.3665
"1980-10-13",9.6447
"1980-10-14",9.1584
"1980-10-15",3.3954
"1980-10-16",-1.6302
"1980-10-17",-0.6798
"1980-10-18",0.7916
"1980-10-19",2.8271
"1980-10-20",4.0897
"1980-10-21",4.5584
"1980-10-22",4.9391
"1980-10-23",3.7816
"1980-10-24",2.0156
"1980-10-25",5.2291
"1980-10-26",3.3665
"1980-10-27",-1.1655
"1980-10-28",-0.6904
"1980-10-29",-0.0724
"1980-10-30",3.5929
"1980-10-31",6.8823
"1980-11-01",6.2256
"1980-11-02",6.4197
"1980-11-03",7.0164
"1980-11-04",7.7417
"1980-11-05",8.5805
"1980-11-06",8.8776
"1980-11-07",8.4713
"1980-11-08",8.466
"1980-11-09",9.573
"1980-11-10",10.2646
"1980-11-11",9.5799
"1980-11-12",6.657
"1980-11-13",4.7363
"1980-11-14",0.664
"1980-11-15",-1.9993
"1980-11-16",-3.961
"1980-11-17",-6.3465
"1980-11-18",-4.0876
"1980-11-19",-1.8691
"1980-11-20",-1.4139
"1980-11-21",-0.6476
"1980-11-22",-1.6337
"1980-11-23",-0.725
"1980-11-24",-1.5224
"1980-11-25",-3.9926
"1980-11-26",-3.2198
"1980-11-27",-2.148
"1980-11-28",2.2091
"1980-11-29",4.5128
"1980-11-30",5.6699
"1980-12-01",3.3744
"1980-12-02",3.291
"1980-12-03",5.2868
"1980-12-04",4.4302
"1980-12-05",3.0483
"1980-12-06",1.1383
"1980-12-07",-2.4483
"1980-12-08",-4.4328
"1980-12-09",-6.1744
"1980-12-10",-3.9081
"1980-12-11",-0.2662
"1980-12-12",1.1996
"1980-12-13",1.5198
"1980-12-14",0.4882
"1980-12-15",1.2233
"1980-12-16",3.7697
"1980-12-17",5.4029
"1980-12-18",4.5513
"1980-12-19",2.0052
"1980-12-20",1.1714
"1980-12-21",1.3835
"1980-12-22",1.7197
"1980-12-23",1.0463
"1980-12-24",0.3873
"1980-12-25",3.2727
"1980-12-26",3.9612
"1980-12-27",5.8063
"1980-12-28",5.2007
"1980-12-29",2.6088
"1980-12-30",2.41
"1980-12-31",1.7583
"1981-01-01",2.735
"1981-01-02",2.9757
"1981-01-03",2.7165
"1981-01-04",3.8134
"1981-01-05",1.1188
"1981-01-06",-2.5724
"1981-01-07",-0.8342
"1981-01-08",-0.2617
"1981-01-09",-0.2263
"1981-01-10",1.4024
"1981-01-11",2.0871
"1981-01-12",2.0393
"1981-01-13",1.5886
"1981-01-14",0.2961
"1981-01-15",0.04
"1981-01-16",0.3825
"1981-01-17",0.9271
"1981-01-18",-1.2781
"1981-01-19",-1.2879
"1981-01-20",0.3161
"1981-01-21",-0.0095
"1981-01-22",1.9132
"1981-01-23",2.7867
"1981-01-24",1.6244
"1981-01-25",-3.0442
"1981-01-26",-4.5877
"1981-01-27",-1.7951
"1981-01-28",1.1861
"1981-01-29",-2.0329
"1981-01-30",-2.6028
"1981-01-31",-5.2849
"1981-02-01",-5.7597
"1981-02-02",-4.9545
"1981-02-03",-0.7403
"1981-02-04",-0.7222
"1981-02-05",-2.4145
"1981-02-06",-0.7163
"1981-02-07",-0.6467
"1981-02-08",-0.6938
"1981-02-09",-0.5602
"1981-02-10",-4.7745
"1981-02-11",-5.8943
"1981-02-12",-2.7968
"1981-02-13",-0.936
"1981-02-14",2.8169
"1981-02-15",3.2961
"1981-02-16",3.326
"1981-02-17",4.6773
"1981-02-18",4.2454
"1981-02-19",6.0864
"1981-02-20",4.9901
"1981-02-21",-3.7741
"1981-02-22",-0.9312
"1981-02-23",3.1395
"1981-02-24",4.7355
"1981-02-25",4.6956
"1981-02-26",0.7199
"1981-02-27",-0.8156
"1981-02-28",1.48
"1981-03-01",2.2888
"1981-03-02",0.4468
"1981-03-03",-2.7115
"1981-03-04",-1.8881
"1981-03-05",-0.2709
"1981-03-06",-2.1552
"1981-03-07",-2.5312
"1981-03-08",-1.0391
"1981-03-09",0.2429
"1981-03-10",0.2615
"1981-03-11",1.1954
"1981-03-12",1.65
"1981-03-13",0.733
"1981-03-14",0.3838
"1981-03-15",0.8466
"1981-03-16",3.2528
"1981-03-17",-0.4512
"1981-03-18",-1.5054
"1981-03-19",3.2704
"1981-03-20",2.0565
"1981-03-21",-0.8869
"1981-03-22",1.0545
"1981-03-23",3.8287
"1981-03-24",5.3396
"1981-03-25",4.6229
"1981-03-26",6.8424
"1981-03-27",0.5143
"1981-03-28",-2.2837
"1981-03-29",-0.2794
"1981-03-30",1.4411
"1981-03-31",-1.1046
"1981-04-01",4.0514
"1981-04-02",5.33
"1981-04-03",0.2641
"1981-04-04",-1.4706
"1981-04-05",1.1181
"1981-04-06",6.014
"1981-04-07",6.8989
"1981-04-08",5.6243
"1981-04-09",7.3465
"1981-04-10",8.9294
"1981-04-11",8.6333
"1981-04-12",7.0937
"1981-04-13",7.669
"1981-04-14",9.2108
"1981-04-15",8.6914
"1981-04-16",10.1246
"1981-04-17",12.0752
"1981-04-18",10.1329
"1981-04-19",6.8647
"1981-04-20",6.6668
"1981-04-21",8.4034
"1981-04-22",7.9165
"1981-04-23",8.592
"1981-04-24",11.1018
"1981-04-25",12.5095
"1981-04-26",12.1897
"1981-04-27",12.2322
"1981-04-28",13.0355
"1981-04-29",13.9767
"1981-04-30",14.5529
"1981-05-01",13.7734
"1981-05-02",11.9622
"1981-05-03",10.2288
"1981-05-04",8.0634
"1981-05-05",10.129
"1981-05-06",8.3114
"1981-05-07",6.3741
"1981-05-08",6.2299
"1981-05-09",3.2653
"1981-05-10",7.088
"1981-05-11",10.027
"1981-05-12",10.4043
"1981-05-13",10.1449
"1981-05-14",12.0135
"1981-05-15",9.8194
"1981-05-16",4.8595
"1981-05-17",5.0892
"1981-05-18",8.2872
"1981-05-19",11.3098
"1981-05-20",10.2273
"1981-05-21",6.6111
"1981-05-22",7.6688
"1981-05-23",9.6132
"1981-05-24",11.4602
"1981-05-25",12.7573
"1981-05-26",13.0959
"1981-05-27",11.0421
"1981-05-28",12.8354
"1981-05-29",11.2332
"1981-05-30",12.1481
"1981-05-31",13.0252
"1981-06-01",13.4502
"1981-06-02",14.393
"1981-06-03",13.6786
"1981-06-04",13.0419
"1981-06-05",15.0188
"1981-06-06",17.4775
"1981-06-07",19.0901
"1981-06-08",18.5211
"1981-06-09",18.8962
"1981-06-10",18.8382
"1981-06-11",18.0708
"1981-06-12",17.0586
"1981-06-13",15.0295
"1981-06-14",11.9682
"1981-06-15",7.3994
"1981-06-16",12.2588
"1981-06-17",16.518
"1981-06-18",18.2424
"1981-06-19",18.9652
"1981-06-20",19.9743
"1981-06-21",20.6747
"1981-06-22",21.0489
"1981-06-23",22.0394
"1981-06-24",22.055
"1981-06-25",22.033
"1981-06-26",21.235
"1981-06-27",19.9152
"1981-06-28",18.7192
"1981-06-29",18.5731
"1981-06-30",17.5436
"1981-07-01",15.5329
"1981-07-02",16.6665
"1981-07-03",18.5902
"1981-07-04",19.8059
"1981-07-05",20.0352
"1981-07-06",20.8289
"1981-07-07",20.7761
"1981-07-08",19.2616
"1981-07-09",18.9095
"1981-07-10",17.4254
"1981-07-11",18.3366
"1981-07-12",17.9359
"1981-07-13",16.3236
"1981-07-14",16.0572
"1981-07-15",16.2789
"1981-07-16",16.0411
"1981-07-17",16.4407
"1981-07-18",17.3167
"1981-07-19",19.302
"1981-07-20",20.2182
"1981-07-21",21.0501
"1981-07-22",20.6172
"1981-07-23",19.8569
"1981-07-24",19.1349
"1981-07-25",18.9064
"1981-07-26",18.5071
"1981-07-27",18.0464
"1981-07-28",18.882
"1981-07-29",19.1208
"1981-07-30",19.183
"1981-07-31",18.6145
"1981-08-01",18.4426
"1981-08-02",18.3592
"1981-08-03",18.5082
"1981-08-04",18.7447
"1981-08-05",20.0476
"1981-08-06",21.1799
"1981-08-07",18.9962
"1981-08-08",18.3113
"1981-08-09",18.5103
"1981-08-10",17.3324
"1981-08-11",13.2452
"1981-08-12",13.6436
"1981-08-13",13.1636
"1981-08-14",15.0448
"1981-08-15",15.4016
"1981-08-16",15.9318
"1981-08-17",16.554
"1981-08-18",16.3094
"1981-08-19",17.4294
"1981-08-20",18.0183
"1981-08-21",18.6075
"1981-08-22",17.9373
"1981-08-23",17.6997
"1981-08-24",17.9835
"1981-08-25",18.6937
"1981-08-26",19.3076
"1981-08-27",18.0645
"1981-08-28",17.9012
"1981-08-29",17.5939
"1981-08-30",17.7773
"1981-08-31",17.3579
"1981-09-01",16.0005
"1981-09-02",16.7761
"1981-09-03",17.1696
"1981-09-04",16.7368
"1981-09-05",13.1355
"1981-09-06",12.64
"1981-09-07",13.0288
"1981-09-08",13.9604
"1981-09-09",13.4255
"1981-09-10",12.3721
"1981-09-11",12.8829
"1981-09-12",14.3566
"1981-09-13",14.3203
"1981-09-14",14.6407
"1981-09-15",14.3648
"1981-09-16",13.9398
"1981-09-17",13.4368
"1981-09-18",13.1174
"1981-09-19",13.8068
"1981-09-20",14.5976
"1981-09-21",14.6091
"1981-09-22",15.5278
"1981-09-23",12.5048
"1981-09-24",11.7486
"1981-09-25",12.1877
"1981-09-26",11.3376
"1981-09-27",13.2562
"1981-09-28",14.4103
"1981-09-29",13.9001
"1981-09-30",13.1356
"1981-10-01",8.9959
"1981-10-02",9.8278
"1981-10-03",8.1662
"1981-10-04",8.9413
"1981-10-05",9.5967
"1981-10-06",10.9108
"1981-10-07",10.2988
"1981-10-08",11.0394
"1981-10-09",8.5906
"1981-10-10",9.9958
"1981-10-11",9.928
"1981-10-12",7.8045
"1981-10-13",7.4283
"1981-10-14",7.3522
"1981-10-15",6.8408
"1981-10-16",3.8979
"1981-10-17",2.5439
"1981-10-18",5.2743
"1981-10-19",6.4504
"1981-10-20",6.8836
"1981-10-21",8.5899
"1981-10-22",6.7342
"1981-10-23",6.6278
"1981-10-24",6.3418
"1981-10-25",3.9525
"1981-10-26",5.639
"1981-10-27",8.0016
"1981-10-28",9.002
"1981-10-29",6.933
"1981-10-30",0.0376
"1981-10-31",-0.6785
"1981-11-01",3.4264
"1981-11-02",5.5935
"1981-11-03",6.9143
"1981-11-04",6.6874
"1981-11-05",7.1995
"1981-11-06",9.9666
"1981-11-07",4.7877
"1981-11-08",3.9517
"1981-11-09",4.1013
"1981-11-10",4.5272
"1981-11-11",5.4185
"1981-11-12",5.6863
"1981-11-13",6.6508
"1981-11-14",7.6207
"1981-11-15",7.5158
"1981-11-16",8.6011
"1981-11-17",7.9715
"1981-11-18",2.8957
"1981-11-19",-2.2195
"1981-11-20",1.2902
"1981-11-21",3.3025
"1981-11-22",5.1497
"1981-11-23",6.0063
"1981-11-24",7.7105
