Water Year,Month,rMonth,cal_year,Fday,MeanSCA,MeanSCA (m2),MeanSCA (km2),Anomaly,Anomaly by Month
2016,2,12,2015,1,76067999592,760679996,761,-18,-303
2016,3,1,2016,1,1.2287E+11,1228703419,1229,450,-301
2016,4,2,2016,1,91898315513,918983155,919,141,-275
2016,5,3,2016,1,77513513080,775135131,775,-3,228
2016,6,4,2016,1,21609118094,216091181,216,-562,105
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
